,Galaxy,re (kpc),rotational velocity,rotational velocity mass (solar mass),star formation rate,star formation density,assymetry,eta average vrot
341,8724-12705,6.005031049058516,0.0,-0.5044262,0.0,-0.5044262,-0.004452636402058155,3.939751758355121
342,8726-12703,3.5172034848691722,0.0,-0.75051546,0.0,-0.75051546,-0.01931144542307316,3.3334716704134353
343,8727-12703,4.407104275846407,0.0,-0.8384614,0.0,-0.8384614,-0.01374125971194798,3.120362024509812
344,8727-12704,4.215776437253779,0.0,-0.4854447,0.0,-0.4854447,-0.008694302413907723,4.352797382679226
345,8727-1902,2.6227206420770046,0.0,-1.5614649,0.0,-1.5614649,-0.07225672714322182,
346,8727-6102,3.2451632860149906,0.0,-0.7413265,0.0,-0.7413265,-0.02240714635276422,3.2527292957104628
347,8727-6104,3.2266070850115796,0.0,-0.85684747,0.0,-0.85684747,-0.026197598222422812,3.2249808248329126
348,8728-6103,2.89250672815138,0.0,-0.57260936,0.0,-0.57260936,-0.021785113064612855,3.922632372005924
349,8728-9101,3.8136155660368827,0.0,-0.9405043,0.0,-0.9405043,-0.020584347049373956,3.232243548004172
350,8931-12703,3.685111109437177,0.0,-1.2236111,0.0,-1.2236111,-0.028680873079939086,
351,8931-6101,3.0970675386577975,0.0,-2.0511904,0.0,-2.0511904,-0.06806984239178988,5.595937083527732
352,8932-12702,4.372687319660235,0.0,-1.7851851,0.0,-1.7851851,-0.02971916027531762,
353,8932-3703,2.1860740642934506,0.0,-1.7581395,0.0,-1.7581395,-0.11710453470977351,
354,8932-3704,2.79001102710483,0.0,-1.6424835,0.0,-1.6424835,-0.06716442422047375,
355,8933-12701,5.489613046850292,0.0,0.049025528,0.0,0.049025528,0.0005178320688805926,7.784984501954284
356,8934-1901,1.9322500545290446,0.0,-1.3402271,0.0,-1.3402271,-0.11426201405623279,0.0
357,8934-1902,1.5519654054529004,0.0,-1.7631068,0.0,-1.7631068,-0.2330046997297945,
358,8934-6103,2.7638617618271715,0.0,-1.6288818,0.0,-1.6288818,-0.0678745661274907,
359,8935-12701,4.882470485456484,0.0,-1.167647,0.0,-1.167647,-0.015591304138198175,
360,8935-12704,0.0,0.0,-0.6783018,0.0,-0.6783018,-inf,0.0
361,8937-12701,8.345142218776076,0.0,0.03907578,0.0,0.03907578,0.0001786036400076585,6.59727451406401
