#Column 1: Rest Wavelength (microns)
#Column 2: Luminosity (W/Hz)
#Column 3: DLnu (W/Hz)
wavelength luminosity  uncertainty
  30.700   6.498E+24   2.056E+24
  30.800   6.526E+24   2.058E+24
  30.900   6.554E+24   2.060E+24
  31.000   6.581E+24   2.062E+24
  31.100   6.609E+24   2.064E+24
  31.200   6.635E+24   2.065E+24
  31.300   6.662E+24   2.067E+24
  31.400   6.688E+24   2.068E+24
  31.500   6.714E+24   2.070E+24
  31.600   6.740E+24   2.071E+24
  31.700   6.765E+24   2.072E+24
  31.800   6.790E+24   2.073E+24
  31.900   6.815E+24   2.074E+24
  32.000   6.839E+24   2.075E+24
  32.100   6.863E+24   2.075E+24
  32.200   6.887E+24   2.076E+24
  32.300   6.910E+24   2.077E+24
  32.400   6.933E+24   2.077E+24
  32.500   6.956E+24   2.077E+24
  32.600   6.979E+24   2.077E+24
  32.700   7.001E+24   2.078E+24
  32.800   7.023E+24   2.078E+24
  32.900   7.045E+24   2.078E+24
  33.000   7.066E+24   2.077E+24
  33.100   7.087E+24   2.077E+24
  33.200   7.108E+24   2.077E+24
  33.300   7.128E+24   2.076E+24
  33.400   7.148E+24   2.076E+24
  33.500   7.168E+24   2.075E+24
  33.600   7.188E+24   2.075E+24
  33.700   7.207E+24   2.074E+24
  33.800   7.226E+24   2.073E+24
  33.900   7.245E+24   2.072E+24
  34.000   7.264E+24   2.071E+24
  34.100   7.282E+24   2.070E+24
  34.200   7.300E+24   2.069E+24
  34.300   7.318E+24   2.068E+24
  34.400   7.336E+24   2.067E+24
  34.500   7.353E+24   2.065E+24
  34.600   7.370E+24   2.064E+24
  34.700   7.387E+24   2.063E+24
  34.800   7.404E+24   2.061E+24
  34.900   7.420E+24   2.060E+24
  35.000   7.436E+24   2.058E+24
  35.100   7.452E+24   2.056E+24
  35.200   7.468E+24   2.055E+24
  35.300   7.483E+24   2.053E+24
  35.400   7.498E+24   2.051E+24
  35.500   7.514E+24   2.049E+24
  35.600   7.528E+24   2.047E+24
  35.700   7.543E+24   2.045E+24
  35.800   7.558E+24   2.043E+24
  35.900   7.572E+24   2.041E+24
  36.000   7.586E+24   2.039E+24
  36.100   7.600E+24   2.036E+24
  36.200   7.613E+24   2.034E+24
  36.300   7.627E+24   2.032E+24
  36.400   7.640E+24   2.029E+24
  36.500   7.653E+24   2.027E+24
  36.600   7.666E+24   2.025E+24
  36.700   7.679E+24   2.022E+24
  36.800   7.692E+24   2.020E+24
  36.900   7.704E+24   2.017E+24
  37.000   7.717E+24   2.015E+24
  37.100   7.729E+24   2.012E+24
  37.200   7.741E+24   2.009E+24
  37.300   7.753E+24   2.007E+24
  37.400   7.765E+24   2.004E+24
